,website,202409,202408,202407,202406,202405,202404,202403,202402,202401,202312,202311,202310,202309,202308,202307,202306,202305,202304,202303,202302,202301,202212,202211,202210,202209,202208,202207,202206,202205,202204,202203,202202,202201,202112,202111,202110,202109,202108,202107,202106,202105,202104,202103,202102,202101,202012,202011,202010,202009,202008,202007,202006,202005,202004,202003,202002,202001,201912,201911,201910,201909
0,unpkg.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1,facebook.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
2,amazonaws.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,google.com.my,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,nicovideo.jp,['351824429553763'],[],[],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],['351824429553763'],[],[],[],[],[],[],[],[],[],[],[],[]
5,meraki.com,[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[]
6,toyota.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
7,ad.gt,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,aliexpress.com,[],[],['1650958108523345'],['1650958108523345'],[],['1650958108523345'],[],[],[],[],[],['1650958108523345'],['1650958108523345'],['1650958108523345'],[],[],['1650958108523345'],[],['1650958108523345'],['1650958108523345'],['1650958108523345'],['1650958108523345'],['1650958108523345'],[],[],['1650958108523345'],['1650958108523345'],[],['1650958108523345'],['1650958108523345'],[],['1650958108523345'],[],['1650958108523345'],['1650958108523345'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
9,tubemogul.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['997155750336158'],[],['997155750336158'],['997155750336158'],['997155750336158'],['997155750336158'],['997155750336158'],['997155750336158'],['997155750336158'],['997155750336158']
10,rspamd.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
11,newrelic.com,['566138868772377'],[],[],['566138868772377'],['566138868772377'],[],['566138868772377'],['566138868772377'],[],['566138868772377'],[],[],['566138868772377'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['246080485783676'],['284585009225326'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
12,salesforceliveagent.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,urldefense.com,[],[],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],,[],[],[],[],[],[],,[],,,[],,,,,,,,
14,discovery.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['665960526897455'],[],[],[],['665960526897455'],['665960526897455'],['665960526897455'],['665960526897455'],[],[],[],['665960526897455'],"['665960526897455', '248157156503723']",['665960526897455'],[],['665960526897455'],['665960526897455'],['665960526897455'],['665960526897455'],[],['665960526897455'],['665960526897455'],['665960526897455'],[],['665960526897455'],['665960526897455'],['665960526897455'],['665960526897455'],['665960526897455'],[],['665960526897455'],['665960526897455'],['665960526897455'],['665960526897455'],['665960526897455'],['665960526897455'],['665960526897455'],['665960526897455']
15,rockstargames.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['492278254896819'],[],[],['492278254896819'],[],['492278254896819'],['492278254896819'],['492278254896819'],['492278254896819'],['492278254896819'],['492278254896819'],[],['492278254896819'],[],[],[],['492278254896819'],['492278254896819'],['492278254896819'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
16,cambridge.org,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[]
17,onet.pl,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,shop.app,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,
19,hubspot.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],[],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],[],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],['893596480692132'],"['893596480692132', '1657797781133784']","['893596480692132', '1657797781133784']","['893596480692132', '1657797781133784']","['893596480692132', '1657797781133784']","['893596480692132', '1657797781133784']","['893596480692132', '1657797781133784']","['893596480692132', '1657797781133784']","['893596480692132', '1657797781133784']"
20,google.com.ua,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21,eventbrite.co.uk,"['722929966719902', '860573327346891']","['722929966719902', '860573327346891']","['722929966719902', '860573327346891']","['722929966719902', '860573327346891']","['722929966719902', '860573327346891']",[],['860573327346891'],[],[],[],['860573327346891'],[],[],['860573327346891'],['860573327346891'],['860573327346891'],['860573327346891'],[],[],[],[],[],[],[],['860573327346891'],['860573327346891'],['860573327346891'],[],"['184203219135369', '860573327346891']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,amazontrust.com,[],[],[],[],[],[],,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],[],[],[],[],,,,,[],,[],,,,,[],[],,[],,[],[],,,,[],[],[],
23,b-cdn.net,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],
24,huggingface.co,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
