,website,202409,202408,202407,202406,202405,202404,202403,202402,202401,202312,202311,202310,202309,202308,202307,202306,202305,202304,202303,202302,202301,202212,202211,202210,202209,202208,202207,202206,202205,202204,202203,202202,202201,202112,202111,202110,202109,202108,202107,202106,202105,202104,202103,202102,202101,202012,202011,202010,202009,202008,202007,202006,202005,202004,202003,202002,202001,201912,201911,201910,201909
0,amazonaws.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1,cloudflare.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,
2,riteaid.com,['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],[],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],[],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256'],[],['1264059003707256'],['1264059003707256'],['1264059003707256'],['1264059003707256']
3,wikipedia.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,twitter.com,[],[],,,,,,,,[],[],[],[],[],[],[],[],[],,,,,,,[],[],[],[],[],[],[],,,,,,,,,,,,[],[],[],[],[],[],[],,,[],[],[],[],[],[],[],,,
5,bing.com,[],[],[],[],,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
6,root-servers.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,googlevideo.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,
8,youtube.com,,,,[],[],[],,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
9,apple.com,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
10,doubleclick.net,[],[],[],[],,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,
11,windowsupdate.com,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,
12,netflix.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13,wordpress.org,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[]
14,googletagmanager.com,[],[],[],[],[],[],[],[],[],,,[],[],[],[],[],[],[],,[],[],[],[],[],[],[],,,,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],
15,mail.ru,[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
16,sharepoint.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,
17,gstatic.com,[],[],[],[],,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,
18,googleapis.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
19,github.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,
20,office.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,
21,amazon.com,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],,,,,
22,fbcdn.net,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,
23,instagram.com,,,,,[],[],[],[],[],[],[],[],,,,,,,,,,[],[],[],[],[],[],[],,,,,,[],[],[],[],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],,
24,azure.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,
25,whatsapp.net,,[],[],[],[],[],[],[],[],[],[],,,,[],,[],[],[],[],[],,,,[],,,[],,[],[],[],,[],[],[],[],[],,,,,,,,,[],[],,,,,[],,,,,[],[],,
26,googleusercontent.com,[],[],[],[],[],[],[],[],[],[],[],[],[],,[],[],[],[],[],,,[],[],[],,[],,,[],[],[],[],[],,[],,,[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,
27,digicert.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['439879700029905'],['439879700029905'],['439879700029905'],,,,,,,,,,,,,,,,
28,linkedin.com,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
29,youtu.be,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,
30,fastly.net,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,
31,yahoo.com,,,,,,,,,,[],[],[],[],,,,,[],[],[],,,,[],[],[],[],,,,,,,,,,,,,,[],[],,,[],[],[],[],[],[],,,,,[],[],[],[],[],[],[]
32,facebook.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],[],,[],[],[],[],[],[],[],[],[],[]
33,pinterest.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[]
34,google.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
35,googlesyndication.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,
36,microsoft.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
37,live.com,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,
38,aaplimg.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,,,,,
