['urlkey', 'timestamp', 'original', 'mimetype', 'statuscode', 'digest', 'length']
['net,facebook,connect)/signals/config/1264059003707256?domain=www.riteaid.com&r=stable&v=2.9.131', '20230930035314', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.131&r=stable&domain=www.riteaid.com', 'application/x-javascript', '200', 'IDNIS7W5QRCTEQ7LEPJVPBVDOQHZTZAE', '124174']
['net,facebook,connect)/signals/config/1264059003707256?r=c2&v=2.8.12', '20180408165721', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.8.12&r=c2', 'application/x-javascript', '200', 'BMMVZY3ZHNYQZOVSKN5MXBPQ4B3ZM4AD', '16006']
['net,facebook,connect)/signals/config/1264059003707256?r=c2&v=2.8.51', '20200604215422', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.8.51&r=c2', 'application/x-javascript', '200', 'BLH56N2X2CSMKXBTKAJZKCA3FRPMVLD2', '87042']
['net,facebook,connect)/signals/config/1264059003707256?r=c2&v=2.9.5', '20201028071547', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.5&r=c2', 'application/x-javascript', '200', 'VBKJ2EUTZADDEKMRED4HVYET4KCGBITM', '85596']
['net,facebook,connect)/signals/config/1264059003707256?r=c2&v=2.9.5', '20210725055519', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.5&r=c2', 'application/x-javascript', '200', 'KKJC6IS5MLYIWUQIQVSQWT7HOKVCZE7C', '86449']
['net,facebook,connect)/signals/config/1264059003707256?r=c2&v=2.9.5', '20210925015645', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.5&r=c2', 'application/x-javascript', '200', 'KKJC6IS5MLYIWUQIQVSQWT7HOKVCZE7C', '86460']
['net,facebook,connect)/signals/config/1264059003707256?r=c2&v=2.9.5', '20220708103040', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.5&r=c2', 'application/x-javascript', '200', 'YVWRZAHMHJQXCZFVNARBLZBMN7UBY3UG', '83419']
['net,facebook,connect)/signals/config/1264059003707256?r=c2&v=2.9.5', '20221106101626', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.5&r=c2', 'warc/revisit', '-', 'YVWRZAHMHJQXCZFVNARBLZBMN7UBY3UG', '1235']
['net,facebook,connect)/signals/config/1264059003707256?r=c2&v=2.9.5', '20230130200128', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.5&r=c2', 'application/x-javascript', '200', 'VW4OQYCH6G3C3Z2K6UTFQJFGBBEUCZLI', '70017']
['net,facebook,connect)/signals/config/1264059003707256?r=canary&v=2.9.64', '20220629065720', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.64&r=canary', 'application/x-javascript', '200', 'CNFXLFTKE5HCKVGQOZ7ONKORQKZQW3P4', '84739']
['net,facebook,connect)/signals/config/1264059003707256?r=canary&v=next', '20210726062032', 'https://connect.facebook.net/signals/config/1264059003707256?v=next&r=canary', 'application/x-javascript', '200', 'QJLFA53JA6J4WRTWZMF6WG6YVJ5SUOXT', '74685']
['net,facebook,connect)/signals/config/1264059003707256?r=canary&v=next', '20210913071915', 'https://connect.facebook.net/signals/config/1264059003707256?v=next&r=canary', 'application/x-javascript', '200', '54MIRKUZNBLO4EIXV7ASNHJTJ2UNVKJ4', '90157']
